,Url,Preço,Titulo Imóvel,Endereço,Área,Número de Quartos
0,https://apartamento.mercadolivre.com.br/MLB-2171104274-apartamento-venda-em-rio-de-janeiro-46395-_JM#position=1&search_layout=grid&type=item&tracking_id=a73521bb-9cbc-4b78-8a0f-757b166ab098,1.900.000,Apartamento À Venda Em Rio De Janeiro - 46395,"Rua Henrique De Moura Costa, Barra Da Tijuca, Rio De Janeiro Zona Oeste, Rio De Janeiro",169 m² construídos,3 quartos
1,https://apartamento.mercadolivre.com.br/MLB-2056365107-cobertura-peninsula-green-garden-barra-da-tijuca-cobertura-a-venda-no-bairro-barra-da-tijuca-rio-de-janeiro-rj-brj71219-_JM#position=2&search_layout=grid&type=item&tracking_id=a73521bb-9cbc-4b78-8a0f-757b166ab098,1.922.800,"Cobertura Península Green Garden - Barra Da Tijuca - Cobertura A Venda No Bairro Barra Da Tijuca - Rio De Janeiro, Rj - Brj71219","Avenida Das Acácias Da Península, Barra Da Tijuca, Rio De Janeiro Zona Oeste, Rio De Janeiro",203 m² construídos,3 quartos
2,https://apartamento.mercadolivre.com.br/MLB-1924982901-apartamento-com-3-dormitorios-venda-170-m-por-r-413000000-waterways-rio-de-janeirorj-ap0553-_JM#position=3&search_layout=grid&type=item&tracking_id=a73521bb-9cbc-4b78-8a0f-757b166ab098,4.130.000,"Apartamento Com 3 Dormitórios À Venda, 170 M² Por R$ 4.130.000,00 - Waterways - Rio De Janeiro/rj - Ap0553","Avenida Lúcio Costa, Barra Da Tijuca, Rio De Janeiro Zona Oeste, Rio De Janeiro",170 m² construídos,3 quartos
3,https://apartamento.mercadolivre.com.br/MLB-2098401879-apartamento-com-2-dormitorios-75-m-venda-por-r-135000000-ou-aluguel-por-r-500000ms-barra-da-tijuca-rio-de-janeirorj-ap0617-_JM#position=4&search_layout=grid&type=item&tracking_id=a73521bb-9cbc-4b78-8a0f-757b166ab098,1.350.000,"Apartamento Com 2 Dormitórios, 75 M² - Venda Por R$ 1.350.000,00 Ou Aluguel Por R$ 5.000,00/mês - Barra Da Tijuca - Rio De Janeiro/rj - Ap0617","Barra Da Tijuca, Rio De Janeiro Zona Oeste, Rio De Janeiro",75 m² construídos,2 quartos
4,https://apartamento.mercadolivre.com.br/MLB-2162177547-apartamento-duplex-com-3-dormitorios-venda-304-m-por-r-3400000-barra-da-tijuca-rj-ad0003-_JM#position=5&search_layout=grid&type=item&tracking_id=a73521bb-9cbc-4b78-8a0f-757b166ab098,3.400.000,"Apartamento Duplex Com 3 Dormitórios À Venda, 304 M² Por R$ 3.400.000 - Barra Da Tijuca -rj - Ad0003","Avenida Lúcio Costa, Barra Da Tijuca, Rio De Janeiro Zona Oeste, Rio De Janeiro",304 m² construídos,3 quartos
5,https://apartamento.mercadolivre.com.br/MLB-2142206060-soul-peninsula-barra-da-tijuca-apartamento-a-venda-no-bairro-barra-da-tijuca-rio-de-janeiro-rj-brj36017-_JM#position=6&search_layout=grid&type=item&tracking_id=a73521bb-9cbc-4b78-8a0f-757b166ab098,1.807.000,"Soul Peninsula - Barra Da Tijuca - Apartamento A Venda No Bairro Barra Da Tijuca - Rio De Janeiro, Rj - Brj36017","Rua Das Bromélias Da Península, Barra Da Tijuca, Rio De Janeiro Zona Oeste, Rio De Janeiro",189 m² construídos,4 quartos
6,https://apartamento.mercadolivre.com.br/MLB-2162143095-apartamento-com-3-dormitorios-venda-175-m-por-r-185000000-barra-da-tijuca-rio-de-janeirorj-ap0247-_JM#position=7&search_layout=grid&type=item&tracking_id=a73521bb-9cbc-4b78-8a0f-757b166ab098,1.850.000,"Apartamento Com 3 Dormitórios À Venda, 175 M² Por R$ 1.850.000,00 - Barra Da Tijuca - Rio De Janeiro/rj - Ap0247","Rua General Ivan Raposo, Barra Da Tijuca, Rio De Janeiro Zona Oeste, Rio De Janeiro",175 m² construídos,3 quartos
7,https://apartamento.mercadolivre.com.br/MLB-2071484066-lindissima-cobertura-linear-unica-no-jardim-ocenico-proximo-praia-com-358m-piscina-e-2-vagas-1412-_JM#position=8&search_layout=grid&type=item&tracking_id=a73521bb-9cbc-4b78-8a0f-757b166ab098,3.850.000,"Lindíssima Cobertura Linear, Única, No Jardim Oceânico, Próximo À Praia, Com 358m², Piscina E 2 Vagas. - 1412","Rua Ivone Cavaleiro, Barra Da Tijuca, Rio De Janeiro Zona Oeste, Rio De Janeiro",358 m² construídos,4 quartos
8,https://apartamento.mercadolivre.com.br/MLB-1957116103-jardim-ocenico-2-quadra-praia-e-3-quadras-do-metr-cm-161m-com-vista-para-a-pedra-da-gavea-ap0048-_JM#position=9&search_layout=grid&type=item&tracking_id=a73521bb-9cbc-4b78-8a0f-757b166ab098,2.100.000,Jardim Oceânico 2 Quadra Praia E 3 Quadras Do Metrô Cm 161m² Com Vista Para A Pedra Da Gávea - Ap0048,"Barra Da Tijuca, Rio De Janeiro Zona Oeste, Rio De Janeiro",161 m² construídos,3 quartos
9,https://apartamento.mercadolivre.com.br/MLB-1924982913-apartamento-com-3-dormitorios-venda-94-m-por-r-64990000-barra-olimpica-rio-de-janeirorj-ap0536-_JM#position=10&search_layout=grid&type=item&tracking_id=a73521bb-9cbc-4b78-8a0f-757b166ab098,649.900,"Apartamento Com 3 Dormitórios À Venda, 94 M² Por R$ 649.900,00 - Barra Olimpica - Rio De Janeiro/rj - Ap0536","Avenida Embaixador Abelardo Bueno, Barra Da Tijuca, Rio De Janeiro Zona Oeste, Rio De Janeiro",94 m² construídos,3 quartos
